GeneSymbol,GeneID,DiseaseName,DiseaseID,DirectEvidence,InferenceChemicalName,InferenceScore,OmimIDs,PubMedIDs
SEH1L,81929,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,9.18,,20156427
SEH1L,81929,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,9.18,,15020195
SEL1L,6400,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,8.34,,20156427
SEL1L,6400,IMMUNE SUPPRESSION,OMIM:146850,,Mercuric Chloride,8.34,,2009908|7657819
SEL1L2,80343,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,4.39,,15020195
SEL1L3,23231,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.07,,20156427
SEL-8,175464,IMMUNE SUPPRESSION,OMIM:146850,,Mercuric Chloride,5.77,,2009908|7657819
SELE,6401,IMMUNE SUPPRESSION,OMIM:146850,,Ascorbic Acid,17.39,,15020195
SELE,6401,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,17.39,,20156427
SELE,6401,IMMUNE SUPPRESSION,OMIM:146850,,Platelet Activating Factor,17.39,,15020195
SELE,6401,IMMUNE SUPPRESSION,OMIM:146850,,Vitamin E,17.39,,15020195
SELENBP1,8991,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,7.75,,20156427
SELENBP1,8991,IMMUNE SUPPRESSION,OMIM:146850,,Plant Preparations,7.75,,20156427
SELENOF,9403,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.32,,20156427
SELENOI,85465,IMMUNE SUPPRESSION,OMIM:146850,,Ascorbic Acid,9.16,,15020195
SELENOI,85465,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,9.16,,15020195
SELENOK,58515,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.27,,20156427
SELENOM,140606,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.15,,20156427
SELENOO,83642,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.60,,20156427
SELENOP,6414,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,12.81,,20156427
SELENOP,6414,IMMUNE SUPPRESSION,OMIM:146850,,Mercuric Chloride,12.81,,2009908|7657819
SELENOP,6414,IMMUNE SUPPRESSION,OMIM:146850,,Plant Preparations,12.81,,20156427
SELENOP2,791479,IMMUNE SUPPRESSION,OMIM:146850,,Mercuric Chloride,4.70,,2009908|7657819
SELENOS,55829,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.16,,20156427
SELENOW,6415,IMMUNE SUPPRESSION,OMIM:146850,,Mercuric Chloride,9.00,,2009908|7657819
SELENOW,6415,IMMUNE SUPPRESSION,OMIM:146850,,Vitamin E,9.00,,15020195
SELL,6402,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,8.79,,20156427
SELL,6402,IMMUNE SUPPRESSION,OMIM:146850,,Platelet Activating Factor,8.79,,15020195
SELP,6403,IMMUNE SUPPRESSION,OMIM:146850,,Mercuric Chloride,8.51,,2009908|7657819
SELP,6403,IMMUNE SUPPRESSION,OMIM:146850,,Platelet Activating Factor,8.51,,15020195
SEM1,7979,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.32,,20156427
SEMA3A,10371,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,8.38,,20156427
SEMA3A,10371,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,8.38,,15020195
SEMA3B,7869,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.08,,20156427
SEMA3C,10512,IMMUNE SUPPRESSION,OMIM:146850,,Ascorbic Acid,8.33,,15020195
SEMA3C,10512,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,8.33,,15020195
SEMA3E,9723,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.14,,20156427
SEMA3F,6405,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.17,,20156427
SEMA3G,56920,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,8.85,,20156427
SEMA3G,56920,IMMUNE SUPPRESSION,OMIM:146850,,JP8 aviation fuel,8.85,,15020195
SEMA3H,30252,IMMUNE SUPPRESSION,OMIM:146850,,Mercuric Chloride,5.07,,2009908|7657819
SEMA4B,10509,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.20,,20156427
SEMA4C,54910,IMMUNE SUPPRESSION,OMIM:146850,,Cyclosporine,3.32,,20156427
